human	&#xF35E;
human-child	&#xF35F;
human-male-female	&#xF360;
image-album	&#xF361;
image-area	&#xF362;
image-area-close	&#xF363;
image-broken	&#xF364;
image-filter	&#xF365;
image-filter-black-white	&#xF366;
image-filter-center-focus	&#xF367;
image-filter-drama	&#xF368;
image-filter-frames	&#xF369;
image-filter-hdr	&#xF36A;
image-filter-none	&#xF36B;
image-filter-tilt-shift	&#xF36C;
image-filter-vintage	&#xF36D;
import	&#xF36E;
inbox	&#xF36F;
information	&#xF370;
information-outline	&#xF371;
instagram	&#xF372;
instapaper	&#xF373;
internet-explorer	&#xF374;
invert-colors	&#xF375;
jira	&#xF376;
keg	&#xF377;
key	&#xF378;
key-change	&#xF379;
key-minus	&#xF37A;
key-plus	&#xF37B;
key-remove	&#xF37C;
key-variant	&#xF37D;
keyboard	&#xF37E;
keyboard-backspace	&#xF37F;
keyboard-caps	&#xF380;
keyboard-close	&#xF381;
keyboard-off	&#xF382;
keyboard-return	&#xF383;
keyboard-tab	&#xF384;
keyboard-variant	&#xF385;
label	&#xF386;
label-outline	&#xF387;
language-csharp	&#xF388;
language-css3	&#xF389;
language-html5	&#xF38A;
language-javascript	&#xF38B;
language-python	&#xF38C;
language-python-text	&#xF38D;
laptop	&#xF38E;
laptop-chromebook	&#xF38F;
laptop-mac	&#xF390;
laptop-windows	&#xF391;
lastfm	&#xF392;
launch	&#xF393;
layers	&#xF394;
layers-off	&#xF395;
leaf	&#xF396;
library	&#xF397;
library-books	&#xF398;
library-music	&#xF399;
library-plus	&#xF39A;
lightbulb	&#xF39B;
lightbulb-outline	&#xF39C;
link	&#xF39D;
link-variant	&#xF39E;
linkedin	&#xF39F;
linkedin-box	&#xF3A0;
linux	&#xF3A1;
lock	&#xF3A2;
lock-open	&#xF3A3;
lock-open-outline	&#xF3A4;
lock-outline	&#xF3A5;
login	&#xF3A6;
logout	&#xF3A7;
looks	&#xF3A8;
loupe	&#xF3A9;
lumx	&#xF3AA;
magnify	&#xF3AB;
magnify-minus	&#xF3AC;
magnify-plus	&#xF3AD;
map	&#xF3AE;
map-marker	&#xF3AF;
map-marker-circle	&#xF3B0;
map-marker-multiple	&#xF3B1;
map-marker-off	&#xF3B2;
map-marker-radius	&#xF3B3;
margin	&#xF3B4;
markdown	&#xF3B5;
marker-check	&#xF3B6;
martini	&#xF3B7;
material-ui	&#xF3B8;
math-compass	&#xF3B9;
maxcdn	&#xF3BA;
memory	&#xF3BB;
menu	&#xF3BC;
menu-down	&#xF3BD;
menu-left	&#xF3BE;
menu-right	&#xF3BF;
menu-up	&#xF3C0;
message	&#xF3C1;
message-alert	&#xF3C2;
message-draw	&#xF3C3;
message-image	&#xF3C4;
message-processing	&#xF3C5;
message-reply	&#xF3C6;
message-text	&#xF3C7;
message-text-outline	&#xF3C8;
message-video	&#xF3C9;
microphone	&#xF3CA;
microphone-off	&#xF3CB;
microphone-outline	&#xF3CC;
microphone-settings	&#xF3CD;
microphone-variant	&#xF3CE;
microphone-variant-off	&#xF3CF;
minus	&#xF3D0;
minus-box	&#xF3D1;
minus-circle	&#xF3D2;
minus-circle-outline	&#xF3D3;
minus-network	&#xF3D4;
monitor	&#xF3D5;
monitor-multiple	&#xF3D6;
more	&#xF3D7;
motorbike	&#xF3D8;
mouse	&#xF3D9;
mouse-off	&#xF3DA;
mouse-variant	&#xF3DB;
mouse-variant-off	&#xF3DC;
movie	&#xF3DD;
multiplication	&#xF3DE;
multiplication-box	&#xF3DF;
music-box	&#xF3E0;
music-box-outline	&#xF3E1;
music-circle	&#xF3E2;
music-note	&#xF3E3;
music-note-eighth	&#xF3E4;
music-note-half	&#xF3E5;
music-note-off	&#xF3E6;
music-note-quarter	&#xF3E7;
music-note-sixteenth	&#xF3E8;
music-note-whole	&#xF3E9;
nature	&#xF3EA;
nature-people	&#xF3EB;
navigation	&#xF3EC;
needle	&#xF3ED;
nest-protect	&#xF3EE;
nest-thermostat	&#xF3EF;
newspaper	&#xF3F0;
nfc	&#xF3F1;
nfc-tap	&#xF3F2;
nfc-variant	&#xF3F3;
numeric	&#xF3F4;
numeric-0-box	&#xF3F5;
numeric-0-box-multiple-outline	&#xF3F6;
numeric-0-box-outline	&#xF3F7;
numeric-1-box	&#xF3F8;
numeric-1-box-multiple-outline	&#xF3F9;
numeric-1-box-outline	&#xF3FA;
numeric-2-box	&#xF3FB;
numeric-2-box-multiple-outline	&#xF3FC;
numeric-2-box-outline	&#xF3FD;
numeric-3-box	&#xF3FE;
